Line;Time;clk 1;out 1;out 2;Floating Point Input 1;Floating Point Input 2;
37;0.36;Falsch;0.844328;0.876307;10.8443;10.8763;
38;0.37;Falsch;0.809017;0.876307;10.809;10.8763;
39;0.38;Wahr;0.770513;0.770513;10.7705;10.7705;
40;0.39;Wahr;0.728969;0.728969;10.729;10.729;
41;0.4;Falsch;0.684547;0.728969;10.6845;10.729;
42;0.41;Falsch;0.637424;0.728969;10.6374;10.729;
43;0.42;Wahr;0.587785;0.587785;10.5878;10.5878;
44;0.43;Wahr;0.535827;0.535827;10.5358;10.5358;
45;0.44;Falsch;0.481754;0.535827;10.4818;10.5358;
46;0.45;Falsch;0.425779;0.535827;10.4258;10.5358;
47;0.46;Wahr;0.368125;0.368125;10.3681;10.3681;
48;0.47;Wahr;0.309017;0.309017;10.309;10.309;
49;0.48;Falsch;0.24869;0.309017;10.2487;10.309;
50;0.49;Falsch;0.187381;0.309017;10.1874;10.309;
51;0.5;Wahr;0.125333;0.125333;10.1253;10.1253;
52;0.51;Wahr;0.0627905;0.0627905;10.0628;10.0628;
53;0.52;Falsch;1.22461e-16;0.0627905;10;10.0628;
54;0.53;Falsch;-0.0627905;0.0627905;9.93721;10.0628;
55;0.54;Wahr;-0.125333;-0.125333;9.87467;9.87467;
56;0.55;Wahr;-0.187381;-0.187381;9.81262;9.81262;
57;0.56;Falsch;-0.24869;-0.187381;9.75131;9.81262;
58;0.57;Falsch;-0.309017;-0.187381;9.69098;9.81262;
59;0.58;Wahr;-0.368125;-0.368125;9.63188;9.63188;
60;0.59;Wahr;-0.425779;-0.425779;9.57422;9.57422;
61;0.6;Falsch;-0.481754;-0.425779;9.51825;9.57422;
62;0.61;Falsch;-0.535827;-0.425779;9.46417;9.57422;
63;0.62;Wahr;-0.587785;-0.587785;9.41221;9.41221;
64;0.63;Wahr;-0.637424;-0.637424;9.36258;9.36258;
65;0.64;Falsch;-0.684547;-0.637424;9.31545;9.36258;
66;0.65;Falsch;-0.728969;-0.637424;9.27103;9.36258;
67;0.66;Wahr;-0.770513;-0.770513;9.22949;9.22949;
68;0.67;Wahr;-0.809017;-0.809017;9.19098;9.19098;
69;0.68;Falsch;-0.844328;-0.809017;9.15567;9.19098;
70;0.69;Falsch;-0.876307;-0.809017;9.12369;9.19098;
71;0.7;Wahr;-0.904827;-0.904827;9.09517;9.09517;
72;0.71;Wahr;-0.929776;-0.929776;9.07022;9.07022;
73;0.72;Falsch;-0.951057;-0.929776;9.04894;9.07022;
74;0.73;Falsch;-0.968583;-0.929776;9.03142;9.07022;
75;0.74;Wahr;-0.982287;-0.982287;9.01771;9.01771;
76;0.75;Wahr;-0.992115;-0.992115;9.00789;9.00789;
77;0.76;Falsch;-0.998027;-0.992115;9.00197;9.00789;
78;0.77;Falsch;-1;-0.992115;9;9.00789;
79;0.78;Wahr;-0.998027;-0.998027;9.00197;9.00197;
80;0.79;Wahr;-0.992115;-0.992115;9.00789;9.00789;
81;0.8;Falsch;-0.982287;-0.992115;9.01771;9.00789;
82;0.81;Falsch;-0.968583;-0.992115;9.03142;9.00789;
83;0.82;Wahr;-0.951057;-0.951057;9.04894;9.04894;
84;0.83;Wahr;-0.929776;-0.929776;9.07022;9.07022;
85;0.84;Falsch;-0.904827;-0.929776;9.09517;9.07022;
86;0.85;Falsch;-0.876307;-0.929776;9.12369;9.07022;
87;0.86;Wahr;-0.844328;-0.844328;9.15567;9.15567;
88;0.87;Wahr;-0.809017;-0.809017;9.19098;9.19098;
89;0.88;Falsch;-0.770513;-0.809017;9.22949;9.19098;
90;0.89;Falsch;-0.728969;-0.809017;9.27103;9.19098;
91;0.9;Wahr;-0.684547;-0.684547;9.31545;9.31545;
92;0.91;Wahr;-0.637424;-0.637424;9.36258;9.36258;
93;0.92;Falsch;-0.587785;-0.637424;9.41221;9.36258;
94;0.93;Falsch;-0.535827;-0.637424;9.46417;9.36258;
95;0.94;Wahr;-0.481754;-0.481754;9.51825;9.51825;
96;0.95;Wahr;-0.425779;-0.425779;9.57422;9.57422;
97;0.96;Falsch;-0.368125;-0.425779;9.63188;9.57422;
98;0.97;Falsch;-0.309017;-0.425779;9.69098;9.57422;
99;0.98;Wahr;-0.24869;-0.24869;9.75131;9.75131;
100;0.99;Wahr;-0.187381;-0.187381;9.81262;9.81262;
101;1;Falsch;-0.125333;-0.187381;9.87467;9.81262;
102;1.01;Falsch;-0.0627905;-0.187381;9.93721;9.81262;
103;1.02;Wahr;0;0;10;10;
104;1.03;Wahr;0.0627905;0.0627905;10.0628;10.0628;
105;1.04;Falsch;0.125333;0.0627905;10.1253;10.0628;
106;1.05;Falsch;0.187381;0.0627905;10.1874;10.0628;
107;1.06;Wahr;0.24869;0.24869;10.2487;10.2487;
108;1.07;Wahr;0.309017;0.309017;10.309;10.309;
109;1.08;Falsch;0.368125;0.309017;10.3681;10.309;
110;1.09;Falsch;0.425779;0.309017;10.4258;10.309;
111;1.1;Wahr;0.481754;0.481754;10.4818;10.4818;
112;1.11;Wahr;0.535827;0.535827;10.5358;10.5358;
